Date,PM2.5,AQI,SO2,CO,O3,PM10,NO2,NOx,NO,WindSpeed,WindDirec,Temp,Humidity
2021/6/1 0:00,10,34,5,0.42,16.6,11,23.9,24.4,0.5,1.3,249,23.5,99
2021/6/1 1:00,12,34,2.7,0.42,14.2,19,19.7,20.2,0.5,1.9,177,23.5,100
2021/6/1 2:00,11,35,3.8,0.51,8.1,19,19.7,22.4,2.7,2.1,168,23.5,100
2021/6/1 3:00,17,38,4.6,0.54,3.1,16,25.7,29,3.3,1.9,195,23.2,100
2021/6/1 4:00,14,40,4.5,0.43,6.7,19,20.9,24,3.1,1.8,262,23.4,100
2021/6/1 5:00,12,40,4.2,0.35,11.9,17,16.6,21.6,5.1,1.5,153,24,100
2021/6/1 6:00,17,44,3.5,0.39,7.5,22,17.2,27.7,10.5,1.8,148,24.6,100
2021/6/1 7:00,14,43,4,0.43,4.1,23,19.1,37.7,18.6,1,136,27,89
2021/6/1 8:00,17,45,5.2,0.49,8.3,26,0,0,0,1.8,148,28.8,80
2021/6/1 9:00,10,44,5.3,0.41,24.7,22,0,0,0,1.7,66,30.6,74
2021/6/1 10:00,10,42,4.1,0.38,33.6,19,21.4,30.2,8.9,1.3,208,31,72
2021/6/1 11:00,16,43,5.6,0.36,49,24,20,25.5,5.4,3.6,352,30.8,73
2021/6/1 12:00,11,41,3.4,0.26,58.6,23,11.1,13.8,2.7,3.2,7,31.3,70
2021/6/1 13:00,12,42,2.4,0.26,61,19,10.6,13.1,2.5,4.5,344,31,72
2021/6/1 14:00,14,44,2.6,0.25,69.3,18,8.4,10.2,1.8,4,355,31,72
2021/6/1 15:00,16,44,2.6,0.26,72.8,17,9.6,11.5,1.9,3.3,3,31.8,66
2021/6/1 16:00,8,49,1.8,0.2,53.9,12,9.3,11.9,2.6,2.7,16,30.1,74
2021/6/1 17:00,10,54,1.5,0.21,51.7,11,8.5,10.8,2.3,3.7,355,28.6,79
2021/6/1 18:00,11,61,1.5,0.27,45,11,12.1,13.8,1.7,3.1,22,26.8,95
2021/6/1 19:00,11,58,1.6,0.24,45,11,12.5,13.5,1.1,1.6,30,26.3,100
2021/6/1 20:00,10,50,1.9,0.29,33.6,14,20.1,20.9,0.8,2.2,160,26.3,100
2021/6/1 21:00,17,46,2,0.4,29.6,22,16.7,17.7,1,2,157,26.1,98
2021/6/1 22:00,21,45,2.8,0.47,16.2,30,20.8,22.1,1.3,2.2,150,25.8,98
2021/6/1 23:00,11,44,3.1,0.43,11.1,24,22.9,24.1,1.1,2.1,136,25.5,99
2021/6/2 0:00,13,46,3.9,0.45,5.9,28,24.8,26.4,1.6,2.2,152,25.2,100
2021/6/2 1:00,18,47,7,0.51,6,38,0,0,0,3.4,157,25,99
2021/6/2 2:00,16,45,5.8,0.42,8.2,22,21.5,24.7,3.2,2.1,190,25.3,96
2021/6/2 3:00,14,46,4.3,0.45,8.5,24,19.8,22.8,2.9,1.7,143,25.1,96
2021/6/2 4:00,11,46,2.9,0.36,8.3,18,16.4,19.3,2.9,2.1,160,24.8,98
2021/6/2 5:00,9,42,2.6,0.33,3.4,20,17.1,22.6,5.4,2.4,158,25.4,94
2021/6/2 6:00,11,40,2.3,0.29,8.8,25,16.6,24.9,8.3,2.4,151,27.9,83
2021/6/2 7:00,11,39,2.4,0.28,7.6,19,11.9,23.1,11.2,2.3,148,29.8,79
2021/6/2 8:00,8,37,2.7,0.28,16.4,26,11.3,21.4,10.2,2.5,187,29.9,76
2021/6/2 9:00,8,36,2.5,0.26,34.9,17,0,0,0,4.1,228,32,70
2021/6/2 10:00,12,35,1.1,0.21,45,0,6.6,10.1,3.5,3.3,227,32.5,72
2021/6/2 11:00,0,34,0,0.2,53.6,20,5.8,9.6,3.8,3.5,252,32.6,68
2021/6/2 12:00,9,34,0,0.18,51.7,20,5.2,8.6,3.4,0,251,32.8,62
2021/6/2 13:00,6,31,3,0.14,41.2,12,3.7,7.5,3.7,4.7,254,32.2,68
2021/6/2 14:00,7,34,3.6,0.15,44.7,15,6.7,10.7,4,4.7,280,31.6,72
2021/6/2 15:00,15,38,4.4,0.19,41.1,20,10.1,15.4,5.3,2.7,279,31.7,73
2021/6/2 16:00,12,43,3.6,0.2,52.7,21,6.6,10.4,3.7,3.9,247,30,80
2021/6/2 17:00,15,45,2.8,0.18,59.1,20,3.8,6.5,2.6,3.5,255,29.7,80
2021/6/2 18:00,20,47,3.2,0.2,67.2,29,4.1,6.7,2.7,3.2,217,28.4,85
2021/6/2 19:00,10,46,2.8,0.17,44.6,18,4.9,7.1,2.3,3.4,219,27.9,87
2021/6/2 20:00,9,44,2.7,0.14,35.2,11,5.2,8.2,2.9,2.7,219,27.9,84
2021/6/2 21:00,7,44,2.8,0.14,29.8,5,4.9,7.4,2.5,2.3,217,27.6,88
2021/6/2 22:00,7,41,2.6,0.12,24.1,5,4.5,7.7,3.2,2.5,227,27.3,88
2021/6/2 23:00,8,39,2.8,0.13,19.4,5,5.4,8.5,3.1,1.6,215,27.1,89
2021/6/3 0:00,7,34,2.9,0.14,17.7,11,6.1,8.8,2.7,2,163,26.9,92
2021/6/3 1:00,10,30,3.3,0.29,8.1,19,17.1,19.5,2.4,1.7,168,26.8,93
