SiteName,County,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Temp,Humidity
大園,桃園市,34.0,5.0,0.42,16.6,11.0,10.0,23.9,24.4,0.5,1.3,249.0,2021/06/01 00:00:00,23.5,99
大園,桃園市,34.0,2.7,0.42,14.2,19.0,12.0,19.7,20.2,0.5,1.9,177.0,2021/06/01 01:00:00,23.5,100
大園,桃園市,35.0,3.8,0.51,8.1,19.0,11.0,19.7,22.4,2.7,2.1,168.0,2021/06/01 02:00:00,23.5,100
大園,桃園市,38.0,4.6,0.54,3.1,16.0,17.0,25.7,29.0,3.3,1.9,195.0,2021/06/01 03:00:00,23.2,100
大園,桃園市,40.0,4.5,0.43,6.7,19.0,14.0,20.9,24.0,3.1,1.8,262.0,2021/06/01 04:00:00,23.4,100
大園,桃園市,40.0,4.2,0.35,11.9,17.0,12.0,16.6,21.6,5.1,1.5,153.0,2021/06/01 05:00:00,24.0,100
大園,桃園市,44.0,3.5,0.39,7.5,22.0,17.0,17.2,27.7,10.5,1.8,148.0,2021/06/01 06:00:00,24.6,100
大園,桃園市,43.0,4.0,0.43,4.1,23.0,14.0,19.1,37.7,18.6,1.0,136.0,2021/06/01 07:00:00,27.0,89
大園,桃園市,45.0,5.2,0.49,8.3,26.0,17.0,,,,1.8,148.0,2021/06/01 08:00:00,28.8,80
大園,桃園市,44.0,5.3,0.41,24.7,22.0,10.0,,,,1.7,66.0,2021/06/01 09:00:00,30.6,74
大園,桃園市,42.0,4.1,0.38,33.6,19.0,10.0,21.4,30.2,8.9,1.3,208.0,2021/06/01 10:00:00,31.0,72
大園,桃園市,43.0,5.6,0.36,49.0,24.0,16.0,20.0,25.5,5.4,3.6,352.0,2021/06/01 11:00:00,30.8,73
大園,桃園市,41.0,3.4,0.26,58.6,23.0,11.0,11.1,13.8,2.7,3.2,7.0,2021/06/01 12:00:00,31.3,70
大園,桃園市,42.0,2.4,0.26,61.0,19.0,12.0,10.6,13.1,2.5,4.5,344.0,2021/06/01 13:00:00,31.0,72
大園,桃園市,44.0,2.6,0.25,69.3,18.0,14.0,8.4,10.2,1.8,4.0,355.0,2021/06/01 14:00:00,31.0,72
大園,桃園市,44.0,2.6,0.26,72.8,17.0,16.0,9.6,11.5,1.9,3.3,3.0,2021/06/01 15:00:00,31.8,66
大園,桃園市,49.0,1.8,0.2,53.9,12.0,8.0,9.3,11.9,2.6,2.7,16.0,2021/06/01 16:00:00,30.1,74
大園,桃園市,54.0,1.5,0.21,51.7,11.0,10.0,8.5,10.8,2.3,3.7,355.0,2021/06/01 17:00:00,28.6,79
大園,桃園市,61.0,1.5,0.27,45.0,11.0,11.0,12.1,13.8,1.7,3.1,22.0,2021/06/01 18:00:00,26.8,95
大園,桃園市,58.0,1.6,0.24,45.0,11.0,11.0,12.5,13.5,1.1,1.6,30.0,2021/06/01 19:00:00,26.3,100
大園,桃園市,50.0,1.9,0.29,33.6,14.0,10.0,20.1,20.9,0.8,2.2,160.0,2021/06/01 20:00:00,26.3,100
大園,桃園市,46.0,2.0,0.4,29.6,22.0,17.0,16.7,17.7,1.0,2.0,157.0,2021/06/01 21:00:00,26.1,98
大園,桃園市,45.0,2.8,0.47,16.2,30.0,21.0,20.8,22.1,1.3,2.2,150.0,2021/06/01 22:00:00,25.8,98
大園,桃園市,44.0,3.1,0.43,11.1,24.0,11.0,22.9,24.1,1.1,2.1,136.0,2021/06/01 23:00:00,25.5,99
大園,桃園市,46.0,3.9,0.45,5.9,28.0,13.0,24.8,26.4,1.6,2.2,152.0,2021/06/02 00:00:00,25.2,100
大園,桃園市,47.0,7.0,0.51,6.0,38.0,18.0,,,,3.4,157.0,2021/06/02 01:00:00,25.0,99
大園,桃園市,45.0,5.8,0.42,8.2,22.0,16.0,21.5,24.7,3.2,2.1,190.0,2021/06/02 02:00:00,25.3,96
大園,桃園市,46.0,4.3,0.45,8.5,24.0,14.0,19.8,22.8,2.9,1.7,143.0,2021/06/02 03:00:00,25.1,96
大園,桃園市,46.0,2.9,0.36,8.3,18.0,11.0,16.4,19.3,2.9,2.1,160.0,2021/06/02 04:00:00,24.8,98
大園,桃園市,42.0,2.6,0.33,3.4,20.0,9.0,17.1,22.6,5.4,2.4,158.0,2021/06/02 05:00:00,25.4,94
大園,桃園市,40.0,2.3,0.29,8.8,25.0,11.0,16.6,24.9,8.3,2.4,151.0,2021/06/02 06:00:00,27.9,83
大園,桃園市,39.0,2.4,0.28,7.6,19.0,11.0,11.9,23.1,11.2,2.3,148.0,2021/06/02 07:00:00,29.8,79
大園,桃園市,37.0,2.7,0.28,16.4,26.0,8.0,11.3,21.4,10.2,2.5,187.0,2021/06/02 08:00:00,29.9,76
大園,桃園市,36.0,2.5,0.26,34.9,17.0,8.0,,,,4.1,228.0,2021/06/02 09:00:00,32.0,70
大園,桃園市,35.0,1.1,0.21,45.0,,12.0,6.6,10.1,3.5,3.3,227.0,2021/06/02 10:00:00,32.5,72
大園,桃園市,34.0,,0.2,53.6,20.0,,5.8,9.6,3.8,3.5,252.0,2021/06/02 11:00:00,32.6,68
大園,桃園市,34.0,,0.18,51.7,20.0,9.0,5.2,8.6,3.4,,251.0,2021/06/02 12:00:00,32.8,62
大園,桃園市,31.0,3.0,0.14,41.2,12.0,6.0,3.7,7.5,3.7,4.7,254.0,2021/06/02 13:00:00,32.2,68
大園,桃園市,34.0,3.6,0.15,44.7,15.0,7.0,6.7,10.7,4.0,4.7,280.0,2021/06/02 14:00:00,31.6,72
大園,桃園市,38.0,4.4,0.19,41.1,20.0,15.0,10.1,15.4,5.3,2.7,279.0,2021/06/02 15:00:00,31.7,73
大園,桃園市,43.0,3.6,0.2,52.7,21.0,12.0,6.6,10.4,3.7,3.9,247.0,2021/06/02 16:00:00,30.0,80
大園,桃園市,45.0,2.8,0.18,59.1,20.0,15.0,3.8,6.5,2.6,3.5,255.0,2021/06/02 17:00:00,29.7,80
大園,桃園市,47.0,3.2,0.2,67.2,29.0,20.0,4.1,6.7,2.7,3.2,217.0,2021/06/02 18:00:00,28.4,85
大園,桃園市,46.0,2.8,0.17,44.6,18.0,10.0,4.9,7.1,2.3,3.4,219.0,2021/06/02 19:00:00,27.9,87
大園,桃園市,44.0,2.7,0.14,35.2,11.0,9.0,5.2,8.2,2.9,2.7,219.0,2021/06/02 20:00:00,27.9,84
大園,桃園市,44.0,2.8,0.14,29.8,5.0,7.0,4.9,7.4,2.5,2.3,217.0,2021/06/02 21:00:00,27.6,88
大園,桃園市,41.0,2.6,0.12,24.1,5.0,7.0,4.5,7.7,3.2,2.5,227.0,2021/06/02 22:00:00,27.3,88
大園,桃園市,39.0,2.8,0.13,19.4,5.0,8.0,5.4,8.5,3.1,1.6,215.0,2021/06/02 23:00:00,27.1,89
大園,桃園市,34.0,2.9,0.14,17.7,11.0,7.0,6.1,8.8,2.7,2.0,163.0,2021/06/03 00:00:00,26.9,92
大園,桃園市,30.0,3.3,0.29,8.1,19.0,10.0,17.1,19.5,2.4,1.7,168.0,2021/06/03 01:00:00,26.8,93
大園,桃園市,32.0,2.7,0.2,10.0,17.0,10.0,12.0,13.6,1.6,1.1,159.0,2021/06/03 02:00:00,26.5,95
大園,桃園市,35.0,3.0,0.29,7.4,22.0,15.0,16.3,17.9,1.7,1.5,163.0,2021/06/03 03:00:00,26.4,94
大園,桃園市,37.0,3.1,0.28,5.6,22.0,13.0,15.6,16.9,1.2,1.9,151.0,2021/06/03 04:00:00,26.1,95
大園,桃園市,38.0,3.0,0.26,6.9,27.0,13.0,13.1,13.7,0.6,1.6,153.0,2021/06/03 05:00:00,26.3,96
大園,桃園市,40.0,3.2,0.29,11.6,28.0,16.0,14.1,18.2,4.2,2.0,164.0,2021/06/03 06:00:00,27.9,84
大園,桃園市,40.0,4.6,0.3,8.9,35.0,14.0,13.3,19.5,6.2,2.0,181.0,2021/06/03 07:00:00,30.1,74
大園,桃園市,40.0,4.0,0.26,14.0,26.0,12.0,10.3,15.8,5.5,3.2,231.0,2021/06/03 08:00:00,30.1,74
大園,桃園市,40.0,3.5,0.18,22.5,13.0,11.0,7.0,10.2,3.2,4.1,222.0,2021/06/03 09:00:00,30.9,72
大園,桃園市,37.0,3.2,0.17,30.9,19.0,9.0,7.1,9.6,2.5,5.0,233.0,2021/06/03 10:00:00,32.5,71
大園,桃園市,35.0,2.8,0.16,35.3,10.0,9.0,4.8,6.6,1.8,4.9,222.0,2021/06/03 11:00:00,33.0,67
大園,桃園市,36.0,3.1,0.19,48.0,13.0,11.0,5.6,7.1,1.5,3.9,225.0,2021/06/03 12:00:00,34.4,65
大園,桃園市,38.0,3.2,0.23,67.8,22.0,15.0,6.2,7.2,1.0,4.7,253.0,2021/06/03 13:00:00,33.1,66
大園,桃園市,45.0,3.4,0.2,65.2,33.0,23.0,6.1,7.0,0.9,5.8,258.0,2021/06/03 14:00:00,32.7,67
大園,桃園市,49.0,3.0,0.15,51.1,18.0,18.0,4.8,6.0,1.3,5.7,245.0,2021/06/03 15:00:00,32.1,68
大園,桃園市,45.0,2.6,0.12,35.5,14.0,3.0,4.4,5.5,1.2,6.4,239.0,2021/06/03 16:00:00,31.1,67
大園,桃園市,42.0,2.1,0.11,22.8,10.0,5.0,4.2,5.9,1.8,6.0,256.0,2021/06/03 17:00:00,29.5,79
大園,桃園市,41.0,2.1,0.13,24.8,5.0,6.0,5.3,6.9,1.6,5.0,256.0,2021/06/03 18:00:00,28.7,82
大園,桃園市,40.0,2.0,0.13,25.7,10.0,7.0,4.9,6.2,1.3,5.3,246.0,2021/06/03 19:00:00,28.2,78
大園,桃園市,36.0,2.3,0.13,19.0,20.0,9.0,,,,3.4,221.0,2021/06/03 20:00:00,28.0,82
大園,桃園市,30.0,2.4,0.14,14.4,5.0,7.0,7.2,7.9,0.7,2.8,215.0,2021/06/03 21:00:00,27.8,87
大園,桃園市,28.0,2.9,0.14,13.8,12.0,6.0,7.9,9.1,1.2,2.8,234.0,2021/06/03 22:00:00,28.3,88
大園,桃園市,27.0,2.6,0.14,14.8,5.0,5.0,8.9,9.9,1.0,3.1,241.0,2021/06/03 23:00:00,27.6,95
大園,桃園市,26.0,2.5,0.13,15.2,11.0,8.0,8.2,9.7,1.4,1.6,237.0,2021/06/04 00:00:00,28.0,94
大園,桃園市,24.0,2.2,0.13,13.8,12.0,6.0,8.3,9.3,1.0,1.6,226.0,2021/06/04 01:00:00,28.2,96
大園,桃園市,21.0,1.1,0.1,14.4,11.0,5.0,6.2,6.7,0.3,3.3,227.0,2021/06/04 02:00:00,28.3,96
大園,桃園市,19.0,0.5,0.1,14.1,10.0,5.0,7.1,7.1,0.3,3.7,250.0,2021/06/04 03:00:00,27.7,100
大園,桃園市,19.0,1.0,0.1,12.7,16.0,6.0,7.2,7.5,0.3,3.7,255.0,2021/06/04 04:00:00,27.5,100
大園,桃園市,20.0,1.1,0.11,13.0,12.0,8.0,6.6,7.3,0.7,2.5,234.0,2021/06/04 05:00:00,27.9,98
