SiteName,County,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Temp,Humidity
觀音,桃園市,33.0,6.5,0.45,8.9,26.0,14.0,28.7,30.2,1.6,0.4,65.0,2021/06/01 00:00:00,23.2,98
觀音,桃園市,33.0,3.3,0.42,7.3,22.0,9.0,26.0,27.5,1.5,1.3,202.0,2021/06/01 01:00:00,23.4,96
觀音,桃園市,35.0,3.6,0.41,5.4,28.0,10.0,21.5,22.1,0.7,1.1,120.0,2021/06/01 02:00:00,23.5,96
觀音,桃園市,31.0,4.1,0.44,3.5,28.0,7.0,22.3,23.2,0.9,1.1,228.0,2021/06/01 03:00:00,23.3,96
觀音,桃園市,32.0,3.4,0.37,3.9,23.0,14.0,18.3,18.5,0.3,1.4,237.0,2021/06/01 04:00:00,23.2,97
觀音,桃園市,32.0,2.8,0.29,3.7,23.0,10.0,15.3,15.7,0.3,1.4,178.0,2021/06/01 05:00:00,24.0,97
觀音,桃園市,31.0,3.0,0.25,8.5,22.0,6.0,17.1,19.1,1.9,0.8,138.0,2021/06/01 06:00:00,24.8,96
觀音,桃園市,32.0,2.3,0.29,5.9,19.0,12.0,18.0,22.0,4.0,0.7,72.0,2021/06/01 07:00:00,26.8,84
觀音,桃園市,31.0,,0.37,14.7,25.0,10.0,16.4,23.2,6.8,1.1,69.0,2021/06/01 08:00:00,27.9,81
觀音,桃園市,30.0,4.9,0.32,25.6,27.0,7.0,13.9,18.0,4.1,1.2,61.0,2021/06/01 09:00:00,28.6,79
觀音,桃園市,31.0,4.1,0.3,32.1,18.0,8.0,13.2,15.4,2.2,1.5,,2021/06/01 10:00:00,28.5,81
觀音,桃園市,31.0,4.9,0.29,37.4,22.0,11.0,16.0,18.9,2.9,1.6,6.0,2021/06/01 11:00:00,30.1,75
觀音,桃園市,29.0,3.0,0.22,51.8,15.0,8.0,7.2,8.1,0.9,1.3,328.0,2021/06/01 12:00:00,30.2,76
觀音,桃園市,29.0,2.2,0.22,60.9,17.0,8.0,5.5,5.9,0.3,2.0,323.0,2021/06/01 13:00:00,30.6,75
觀音,桃園市,35.0,2.5,0.24,71.8,22.0,11.0,6.4,6.7,0.3,1.9,329.0,2021/06/01 14:00:00,28.8,79
觀音,桃園市,41.0,1.3,0.19,57.7,15.0,9.0,4.5,4.7,0.3,2.0,9.0,2021/06/01 15:00:00,30.4,73
觀音,桃園市,46.0,1.0,0.2,61.8,19.0,11.0,4.5,4.6,0.3,2.0,16.0,2021/06/01 16:00:00,28.6,81
觀音,桃園市,48.0,0.5,0.17,44.8,11.0,6.0,4.1,4.5,0.3,1.9,11.0,2021/06/01 17:00:00,27.1,87
觀音,桃園市,49.0,1.5,0.21,38.9,15.0,6.0,8.2,8.5,0.3,1.8,347.0,2021/06/01 18:00:00,26.4,91
觀音,桃園市,49.0,0.5,0.17,40.2,10.0,4.0,6.0,6.1,0.3,0.9,258.0,2021/06/01 19:00:00,26.2,93
