SiteName,County,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Temp,Humidity
龍潭,桃園市,22.0,1.7,0.29,13.7,10.0,6.0,10.2,12.0,1.8,0.4,263.0,2021/06/01 00:00:00,22.9,95
龍潭,桃園市,21.0,1.0,0.3,9.6,12.0,5.0,11.8,13.6,1.8,0.9,221.0,2021/06/01 01:00:00,23.2,91
龍潭,桃園市,19.0,1.2,0.17,14.5,14.0,5.0,7.6,9.6,2.0,1.9,215.0,2021/06/01 02:00:00,None,None
龍潭,桃園市,15.0,1.1,0.14,13.4,15.0,1.0,8.1,10.1,2.0,1.2,202.0,2021/06/01 03:00:00,23.2,90
龍潭,桃園市,13.0,1.0,0.15,12.3,5.0,2.0,9.9,12.3,2.4,1.5,217.0,2021/06/01 04:00:00,23.4,90
龍潭,桃園市,14.0,1.1,0.17,16.0,17.0,7.0,5.8,8.1,2.3,1.2,223.0,2021/06/01 05:00:00,23.4,91
龍潭,桃園市,15.0,1.3,0.19,8.4,11.0,6.0,13.2,16.2,3.0,0.8,198.0,2021/06/01 06:00:00,23.8,90
龍潭,桃園市,17.0,1.4,0.25,7.4,15.0,5.0,12.3,20.5,8.2,0.9,166.0,2021/06/01 07:00:00,24.9,86
龍潭,桃園市,18.0,1.1,0.26,8.1,17.0,4.0,7.8,15.1,7.2,1.0,129.0,2021/06/01 08:00:00,26.8,76
龍潭,桃園市,17.0,1.5,0.25,19.3,21.0,5.0,7.5,13.7,6.3,1.2,82.0,2021/06/01 09:00:00,29.0,69
龍潭,桃園市,17.0,1.5,0.29,33.8,17.0,7.0,8.2,12.3,4.1,0.9,336.0,2021/06/01 10:00:00,28.8,70
龍潭,桃園市,17.0,1.2,0.27,42.5,13.0,6.0,5.6,8.3,2.7,2.1,252.0,2021/06/01 11:00:00,29.0,67
龍潭,桃園市,21.0,1.4,0.23,47.1,10.0,7.0,4.9,7.7,2.7,2.6,237.0,2021/06/01 12:00:00,30.1,64
龍潭,桃園市,26.0,1.5,0.22,57.0,15.0,9.0,6.2,8.5,2.4,2.4,264.0,2021/06/01 13:00:00,29.0,69
龍潭,桃園市,32.0,1.6,0.23,63.0,21.0,,,,,2.5,314.0,2021/06/01 14:00:00,28.9,74
