SiteName,County,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Temp,Humidity
平鎮,桃園市,22.0,2.4,0.5,16.2,10.0,4.0,15.9,16.8,0.9,0.5,358.0,2021/06/01 00:00:00,22.3,99
平鎮,桃園市,28.0,2.2,0.61,1.2,18.0,7.0,30.2,44.2,14.0,0.9,196.0,2021/06/01 01:00:00,22.6,99
平鎮,桃園市,20.0,2.0,0.43,6.3,14.0,9.0,18.3,18.7,0.3,0.7,231.0,2021/06/01 02:00:00,22.6,99
平鎮,桃園市,23.0,2.0,0.35,3.2,20.0,11.0,20.9,23.9,3.0,1.0,290.0,2021/06/01 03:00:00,22.6,98
平鎮,桃園市,26.0,2.0,0.26,4.4,21.0,10.0,18.3,22.7,4.4,0.8,208.0,2021/06/01 04:00:00,23.3,96
平鎮,桃園市,28.0,2.4,0.22,8.0,16.0,8.0,16.5,17.1,0.6,0.6,207.0,2021/06/01 05:00:00,23.0,98
平鎮,桃園市,30.0,2.6,0.3,6.0,19.0,12.0,20.0,21.8,1.9,0.8,136.0,2021/06/01 06:00:00,23.4,97
平鎮,桃園市,30.0,2.2,0.41,6.5,19.0,10.0,16.4,20.6,4.2,0.5,138.0,2021/06/01 07:00:00,24.3,93
平鎮,桃園市,30.0,2.2,,9.1,21.0,9.0,13.0,19.5,6.5,0.9,158.0,2021/06/01 08:00:00,27.1,83
平鎮,桃園市,30.0,2.0,0.37,16.6,18.0,7.0,8.7,14.5,5.8,0.7,200.0,2021/06/01 09:00:00,28.3,76
平鎮,桃園市,26.0,1.8,0.34,36.7,17.0,5.0,7.3,9.6,2.3,0.9,93.0,2021/06/01 10:00:00,28.1,79
平鎮,桃園市,25.0,1.8,0.36,47.0,18.0,8.0,10.8,12.0,1.3,1.2,288.0,2021/06/01 11:00:00,28.4,78
平鎮,桃園市,29.0,2.3,0.29,58.2,20.0,14.0,9.5,10.1,0.6,1.8,285.0,2021/06/01 12:00:00,28.8,77
平鎮,桃園市,35.0,3.5,0.32,69.9,30.0,18.0,11.3,11.7,0.3,1.9,298.0,2021/06/01 13:00:00,28.3,80
平鎮,桃園市,41.0,3.6,0.27,71.5,27.0,17.0,10.0,11.2,1.2,1.5,333.0,2021/06/01 14:00:00,28.0,81
平鎮,桃園市,44.0,3.0,0.28,70.8,23.0,16.0,9.1,9.5,0.3,1.5,355.0,2021/06/01 15:00:00,27.8,82
平鎮,桃園市,51.0,2.5,0.26,69.4,24.0,17.0,8.4,8.3,0.0,1.1,280.0,2021/06/01 16:00:00,27.9,81
平鎮,桃園市,71.0,2.9,0.28,67.2,22.0,19.0,9.6,10.0,0.3,1.4,290.0,2021/06/01 17:00:00,27.1,87
平鎮,桃園市,77.0,3.0,0.35,46.9,23.0,11.0,14.6,15.1,0.3,1.0,321.0,2021/06/01 18:00:00,24.9,94
平鎮,桃園市,71.0,2.6,0.31,33.7,18.0,11.0,17.4,17.7,0.3,0.7,223.0,2021/06/01 19:00:00,24.8,95
平鎮,桃園市,58.0,1.9,0.28,29.8,16.0,10.0,13.5,13.4,0.0,1.4,186.0,2021/06/01 20:00:00,25.0,95
平鎮,桃園市,47.0,3.5,0.31,20.7,11.0,11.0,14.3,15.0,0.7,0.7,251.0,2021/06/01 21:00:00,24.5,96
平鎮,桃園市,42.0,2.1,0.4,19.2,18.0,10.0,,,,0.7,118.0,2021/06/01 22:00:00,23.9,98
平鎮,桃園市,39.0,2.0,0.35,17.1,15.0,11.0,13.8,14.0,0.3,1.4,81.0,2021/06/01 23:00:00,23.5,98
平鎮,桃園市,39.0,2.6,0.41,12.8,19.0,10.0,16.8,16.5,0.0,1.4,87.0,2021/06/02 00:00:00,23.5,98
