SiteName,County,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Temp,Humidity
中壢,桃園市,32.0,1.4,0.78,8.5,11.0,6.0,25.6,33.9,8.3,0.4,327.0,2021/06/01 00:00:00,23.6,90
中壢,桃園市,29.0,1.8,0.81,6.9,14.0,5.0,24.3,29.9,5.6,1.1,172.0,2021/06/01 01:00:00,23.4,91
中壢,桃園市,31.0,2.2,0.63,5.4,19.0,16.0,19.5,30.5,11.0,0.6,191.0,2021/06/01 02:00:00,23.2,92
中壢,桃園市,32.0,2.2,0.62,3.0,15.0,11.0,19.0,27.2,8.3,0.4,10.0,2021/06/01 03:00:00,23.6,91
中壢,桃園市,31.0,2.0,0.44,2.6,15.0,7.0,19.8,26.4,6.5,0.4,118.0,2021/06/01 04:00:00,24.1,88
中壢,桃園市,35.0,2.4,0.4,7.2,5.0,12.0,16.8,24.6,7.8,0.4,71.0,2021/06/01 05:00:00,23.3,92
中壢,桃園市,32.0,2.7,0.88,3.3,15.0,10.0,18.9,46.9,28.0,0.9,175.0,2021/06/01 06:00:00,23.8,91
中壢,桃園市,31.0,3.0,1.71,3.1,21.0,8.0,18.7,68.1,49.5,0.4,216.0,2021/06/01 07:00:00,25.0,83
中壢,桃園市,35.0,3.8,2.85,3.0,27.0,16.0,16.5,89.0,72.5,1.3,197.0,2021/06/01 08:00:00,27.3,74
中壢,桃園市,37.0,3.3,1.74,7.8,24.0,15.0,22.0,66.2,44.2,1.0,223.0,2021/06/01 09:00:00,28.8,68
中壢,桃園市,37.0,2.7,0.92,22.2,21.0,11.0,21.0,37.8,16.7,0.5,355.0,2021/06/01 10:00:00,28.7,71
中壢,桃園市,39.0,2.4,0.51,37.7,15.0,11.0,17.3,23.9,6.7,0.7,342.0,2021/06/01 11:00:00,None,None
中壢,桃園市,39.0,2.7,0.63,44.5,16.0,14.0,18.3,26.3,8.0,0.4,29.0,2021/06/01 12:00:00,None,None
中壢,桃園市,44.0,3.0,0.45,56.8,31.0,21.0,17.2,23.3,6.1,0.8,18.0,2021/06/01 13:00:00,None,None
中壢,桃園市,47.0,3.0,0.39,61.4,27.0,18.0,13.1,17.3,4.2,0.5,29.0,2021/06/01 14:00:00,None,None
中壢,桃園市,50.0,3.0,0.39,58.0,33.0,16.0,13.5,18.1,4.6,0.5,20.0,2021/06/01 15:00:00,None,None
中壢,桃園市,54.0,2.9,0.35,58.9,24.0,21.0,13.1,17.4,4.3,0.5,36.0,2021/06/01 16:00:00,27.5,80
中壢,桃園市,54.0,3.0,0.46,54.9,28.0,20.0,15.8,22.4,6.6,0.4,6.0,2021/06/01 17:00:00,27.8,78
中壢,桃園市,54.0,3.0,0.6,40.5,19.0,16.0,17.4,24.4,7.0,0.5,358.0,2021/06/01 18:00:00,25.3,94
中壢,桃園市,54.0,2.4,0.84,21.7,14.0,13.0,25.1,35.7,10.6,0.6,287.0,2021/06/01 19:00:00,25.5,91
中壢,桃園市,50.0,2.6,0.96,14.9,11.0,11.0,26.3,38.4,12.1,1.4,167.0,2021/06/01 20:00:00,25.5,89
中壢,桃園市,45.0,3.0,1.19,9.9,14.0,10.0,24.6,44.5,20.0,0.4,282.0,2021/06/01 21:00:00,25.1,91
中壢,桃園市,44.0,3.7,1.31,6.8,21.0,14.0,26.4,44.1,17.7,0.6,249.0,2021/06/01 22:00:00,24.8,91
中壢,桃園市,46.0,3.1,0.98,7.7,18.0,15.0,23.3,37.9,14.6,0.5,331.0,2021/06/01 23:00:00,24.6,91
中壢,桃園市,47.0,3.4,0.75,7.3,19.0,14.0,22.9,32.9,10.0,0.7,286.0,2021/06/02 00:00:00,24.6,91
中壢,桃園市,48.0,2.8,0.78,7.4,22.0,14.0,21.6,30.5,9.0,0.9,193.0,2021/06/02 01:00:00,25.0,87
中壢,桃園市,47.0,2.4,0.4,7.6,25.0,13.0,,,,1.3,167.0,2021/06/02 02:00:00,24.9,86
中壢,桃園市,45.0,2.1,0.4,10.5,21.0,13.0,12.2,14.9,2.6,0.8,209.0,2021/06/02 03:00:00,24.6,88
中壢,桃園市,41.0,1.9,0.31,9.3,11.0,7.0,11.2,13.1,1.9,0.9,183.0,2021/06/02 04:00:00,24.7,86
中壢,桃園市,34.0,1.9,0.27,6.5,20.0,4.0,11.8,13.9,2.2,1.2,175.0,2021/06/02 05:00:00,24.6,85
中壢,桃園市,30.0,2.2,0.49,6.0,22.0,6.0,11.8,19.7,7.9,1.1,175.0,2021/06/02 06:00:00,25.9,82
中壢,桃園市,27.0,2.9,1.39,4.3,25.0,7.0,12.7,57.2,44.5,0.9,192.0,2021/06/02 07:00:00,27.7,74
中壢,桃園市,28.0,3.0,1.67,9.6,21.0,10.0,21.7,50.1,28.5,0.6,236.0,2021/06/02 08:00:00,30.3,65
中壢,桃園市,30.0,2.8,0.74,16.4,13.0,9.0,,,,0.6,,2021/06/02 09:00:00,30.4,65
中壢,桃園市,32.0,2.4,0.69,19.9,14.0,11.0,18.9,41.9,23.0,0.8,197.0,2021/06/02 10:00:00,30.7,69
中壢,桃園市,33.0,2.4,0.56,32.4,23.0,11.0,21.6,37.8,16.2,,60.0,2021/06/02 11:00:00,31.5,66
中壢,桃園市,35.0,2.1,0.54,,24.0,16.0,19.2,29.0,9.8,1.5,103.0,2021/06/02 12:00:00,31.3,60
中壢,桃園市,36.0,,0.37,,,11.0,,,,1.6,25.0,2021/06/02 13:00:00,30.4,67
中壢,桃園市,36.0,,,37.6,20.0,,,,,2.0,40.0,2021/06/02 14:00:00,30.4,69
