SiteName,MonitorDate,AQI
龍潭,2021/6/1,64
桃園,2021/6/1,87
大園,2021/6/1,61
觀音,2021/6/1,49
平鎮,2021/6/1,77
中壢,2021/6/1,44
中壢,2021/6/2,34
龍潭,2021/6/2,50
平鎮,2021/6/2,47
觀音,2021/6/2,44
大園,2021/6/2,47
桃園,2021/6/2,46
中壢,2021/6/3,37
桃園,2021/6/3,58
大園,2021/6/3,42
觀音,2021/6/3,31
平鎮,2021/6/3,45
龍潭,2021/6/3,58
中壢,2021/6/4,37
桃園,2021/6/4,29
大園,2021/6/4,30
觀音,2021/6/4,25
平鎮,2021/6/4,27
龍潭,2021/6/4,31
中壢,2021/6/5,27
大園,2021/6/5,49
觀音,2021/6/5,45
平鎮,2021/6/5,47
桃園,2021/6/5,48
龍潭,2021/6/5,44
中壢,2021/6/6,26
桃園,2021/6/6,46
龍潭,2021/6/6,43
平鎮,2021/6/6,42
觀音,2021/6/6,44
大園,2021/6/6,44
桃園,2021/6/7,49
中壢,2021/6/7,31
龍潭,2021/6/7,61
平鎮,2021/6/7,58
觀音,2021/6/7,44
大園,2021/6/7,48
中壢,2021/6/8,25
桃園,2021/6/8,45
大園,2021/6/8,43
觀音,2021/6/8,34
平鎮,2021/6/8,44
龍潭,2021/6/8,74
中壢,2021/6/9,24
龍潭,2021/6/9,47
平鎮,2021/6/9,46
觀音,2021/6/9,44
大園,2021/6/9,45
桃園,2021/6/9,48
中壢,2021/6/10,25
大園,2021/6/10,39
觀音,2021/6/10,27
平鎮,2021/6/10,32
龍潭,2021/6/10,34
桃園,2021/6/10,34
中壢,2021/6/11,19
龍潭,2021/6/11,47
平鎮,2021/6/11,41
觀音,2021/6/11,44
大園,2021/6/11,39
桃園,2021/6/11,41
中壢,2021/6/12,37
桃園,2021/6/12,47
大園,2021/6/12,49
觀音,2021/6/12,40
平鎮,2021/6/12,41
龍潭,2021/6/12,48
平鎮,2021/6/13,32
中壢,2021/6/13,24
桃園,2021/6/13,35
大園,2021/6/13,32
觀音,2021/6/13,30
龍潭,2021/6/13,40
桃園,2021/6/14,33
大園,2021/6/14,28
觀音,2021/6/14,25
平鎮,2021/6/14,29
龍潭,2021/6/14,36
中壢,2021/6/14,28
大園,2021/6/15,27
龍潭,2021/6/15,32
平鎮,2021/6/15,24
觀音,2021/6/15,24
桃園,2021/6/15,29
中壢,2021/6/15,23
平鎮,2021/6/16,31
桃園,2021/6/16,31
大園,2021/6/16,35
觀音,2021/6/16,35
龍潭,2021/6/16,30
中壢,2021/6/16,22
大園,2021/6/17,39
觀音,2021/6/17,30
平鎮,2021/6/17,37
桃園,2021/6/17,42
龍潭,2021/6/17,40
中壢,2021/6/17,30
龍潭,2021/6/18,43
觀音,2021/6/18,27
大園,2021/6/18,34
桃園,2021/6/18,46
平鎮,2021/6/18,38
中壢,2021/6/18,29
桃園,2021/6/19,37
平鎮,2021/6/19,35
觀音,2021/6/19,36
大園,2021/6/19,40
中壢,2021/6/19,22
龍潭,2021/6/19,33
龍潭,2021/6/20,34
平鎮,2021/6/20,35
觀音,2021/6/20,33
大園,2021/6/20,39
桃園,2021/6/20,36
中壢,2021/6/20,32
桃園,2021/6/21,33
中壢,2021/6/21,28
龍潭,2021/6/21,32
平鎮,2021/6/21,31
觀音,2021/6/21,27
大園,2021/6/21,33
平鎮,2021/6/22,37
大園,2021/6/22,39
觀音,2021/6/22,36
龍潭,2021/6/22,41
中壢,2021/6/22,26
桃園,2021/6/22,37
觀音,2021/6/23,32
平鎮,2021/6/23,38
龍潭,2021/6/23,36
中壢,2021/6/23,27
桃園,2021/6/23,37
大園,2021/6/23,35
觀音,2021/6/24,41
龍潭,2021/6/24,44
中壢,2021/6/24,32
桃園,2021/6/24,42
大園,2021/6/24,42
平鎮,2021/6/24,43
桃園,2021/6/25,41
大園,2021/6/25,40
觀音,2021/6/25,41
平鎮,2021/6/25,40
龍潭,2021/6/25,40
中壢,2021/6/25,37
中壢,2021/6/26,29
桃園,2021/6/26,40
大園,2021/6/26,46
觀音,2021/6/26,45
龍潭,2021/6/26,36
平鎮,2021/6/26,39
桃園,2021/6/27,32
中壢,2021/6/27,21
大園,2021/6/27,34
觀音,2021/6/27,33
平鎮,2021/6/27,31
龍潭,2021/6/27,31
平鎮,2021/6/28,24
桃園,2021/6/28,24
大園,2021/6/28,30
龍潭,2021/6/28,24
中壢,2021/6/28,17
觀音,2021/6/28,29
龍潭,2021/6/29,27
桃園,2021/6/29,28
大園,2021/6/29,33
平鎮,2021/6/29,29
觀音,2021/6/29,31
中壢,2021/6/29,21
觀音,2021/6/30,28
大園,2021/6/30,30
中壢,2021/6/30,28
龍潭,2021/6/30,31
平鎮,2021/6/30,41
桃園,2021/6/30,38
平鎮,2021/7/2,38
中壢,2021/7/2,35
桃園,2021/7/2,46
大園,2021/7/2,31
觀音,2021/7/2,28
龍潭,2021/7/2,42
大園,2021/7/3,39
中壢,2021/7/3,38
觀音,2021/7/3,30
龍潭,2021/7/3,45
平鎮,2021/7/3,48
桃園,2021/7/3,49
觀音,2021/7/4,33
平鎮,2021/7/4,58
龍潭,2021/7/4,49
中壢,2021/7/4,52
桃園,2021/7/4,56
大園,2021/7/4,42
大園,2021/7/5,27
桃園,2021/7/5,31
中壢,2021/7/5,30
龍潭,2021/7/5,44
平鎮,2021/7/5,29
觀音,2021/7/5,32
平鎮,2021/7/6,48
桃園,2021/7/6,44
大園,2021/7/6,37
觀音,2021/7/6,32
中壢,2021/7/6,42
龍潭,2021/7/6,44
大園,2021/7/7,37
桃園,2021/7/7,42
觀音,2021/7/7,31
平鎮,2021/7/7,40
龍潭,2021/7/7,37
中壢,2021/7/7,40
龍潭,2021/7/8,44
平鎮,2021/7/8,36
觀音,2021/7/8,30
大園,2021/7/8,35
桃園,2021/7/8,40
中壢,2021/7/8,37
平鎮,2021/7/9,32
觀音,2021/7/9,25
中壢,2021/7/9,38
大園,2021/7/9,28
桃園,2021/7/9,32
