SiteName,County,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate
觀音,桃園市,33,6.5,0.45,8.9,26,14,28.7,30.2,1.6,0.4,65,2021/06/01 00:00:00
觀音,桃園市,33,3.3,0.42,7.3,22,9,26,27.5,1.5,1.3,202,2021/06/01 01:00:00
觀音,桃園市,35,3.6,0.41,5.4,28,10,21.5,22.1,0.7,1.1,120,2021/06/01 02:00:00
觀音,桃園市,31,4.1,0.44,3.5,28,7,22.3,23.2,0.9,1.1,228,2021/06/01 03:00:00
觀音,桃園市,32,3.4,0.37,3.9,23,14,18.3,18.5,0.3,1.4,237,2021/06/01 04:00:00
觀音,桃園市,32,2.8,0.29,3.7,23,10,15.3,15.7,0.3,1.4,178,2021/06/01 05:00:00
觀音,桃園市,31,3,0.25,8.5,22,6,17.1,19.1,1.9,0.8,138,2021/06/01 06:00:00
觀音,桃園市,32,2.3,0.29,5.9,19,12,18,22,4,0.7,72,2021/06/01 07:00:00
觀音,桃園市,31,,0.37,14.7,25,10,16.4,23.2,6.8,1.1,69,2021/06/01 08:00:00
觀音,桃園市,30,4.9,0.32,25.6,27,7,13.9,18,4.1,1.2,61,2021/06/01 09:00:00
觀音,桃園市,31,4.1,0.3,32.1,18,8,13.2,15.4,2.2,1.5,,2021/06/01 10:00:00
觀音,桃園市,31,4.9,0.29,37.4,22,11,16,18.9,2.9,1.6,6,2021/06/01 11:00:00
觀音,桃園市,29,3,0.22,51.8,15,8,7.2,8.1,0.9,1.3,328,2021/06/01 12:00:00
觀音,桃園市,29,2.2,0.22,60.9,17,8,5.5,5.9,0.3,2,323,2021/06/01 13:00:00
觀音,桃園市,35,2.5,0.24,71.8,22,11,6.4,6.7,0.3,1.9,329,2021/06/01 14:00:00
觀音,桃園市,41,1.3,0.19,57.7,15,9,4.5,4.7,0.3,2,9,2021/06/01 15:00:00
觀音,桃園市,46,1,0.2,61.8,19,11,4.5,4.6,0.3,2,16,2021/06/01 16:00:00
觀音,桃園市,48,0.5,0.17,44.8,11,6,4.1,4.5,0.3,1.9,11,2021/06/01 17:00:00
觀音,桃園市,49,1.5,0.21,38.9,15,6,8.2,8.5,0.3,1.8,347,2021/06/01 18:00:00
觀音,桃園市,49,0.5,0.17,40.2,10,4,6,6.1,0.3,0.9,258,2021/06/01 19:00:00
觀音,桃園市,48,0.5,0.16,40.6,5,4,5.5,5.4,0,0.8,201,2021/06/01 20:00:00
觀音,桃園市,45,0.5,0.18,38.5,13,7,5.6,5.4,0,0.7,122,2021/06/01 21:00:00
觀音,桃園市,41,1.2,0.19,32.4,18,14,7,6.9,0,0.5,128,2021/06/01 22:00:00
觀音,桃園市,37,1.3,0.22,23.3,20,11,10.8,10.7,0,0.7,68,2021/06/01 23:00:00
