SiteName,County,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate
龍潭,桃園市,22,1.7,0.29,13.7,10,6,10.2,12,1.8,0.4,263,2021/06/01 00:00:00
龍潭,桃園市,21,1,0.3,9.6,12,5,11.8,13.6,1.8,0.9,221,2021/06/01 01:00:00
龍潭,桃園市,19,1.2,0.17,14.5,14,5,7.6,9.6,2,1.9,215,2021/06/01 02:00:00
龍潭,桃園市,15,1.1,0.14,13.4,15,1,8.1,10.1,2,1.2,202,2021/06/01 03:00:00
龍潭,桃園市,13,1,0.15,12.3,5,2,9.9,12.3,2.4,1.5,217,2021/06/01 04:00:00
龍潭,桃園市,14,1.1,0.17,16,17,7,5.8,8.1,2.3,1.2,223,2021/06/01 05:00:00
龍潭,桃園市,15,1.3,0.19,8.4,11,6,13.2,16.2,3,0.8,198,2021/06/01 06:00:00
龍潭,桃園市,17,1.4,0.25,7.4,15,5,12.3,20.5,8.2,0.9,166,2021/06/01 07:00:00
龍潭,桃園市,18,1.1,0.26,8.1,17,4,7.8,15.1,7.2,1,129,2021/06/01 08:00:00
龍潭,桃園市,17,1.5,0.25,19.3,21,5,7.5,13.7,6.3,1.2,82,2021/06/01 09:00:00
龍潭,桃園市,17,1.5,0.29,33.8,17,7,8.2,12.3,4.1,0.9,336,2021/06/01 10:00:00
龍潭,桃園市,17,1.2,0.27,42.5,13,6,5.6,8.3,2.7,2.1,252,2021/06/01 11:00:00
龍潭,桃園市,21,1.4,0.23,47.1,10,7,4.9,7.7,2.7,2.6,237,2021/06/01 12:00:00
龍潭,桃園市,26,1.5,0.22,57,15,9,6.2,8.5,2.4,2.4,264,2021/06/01 13:00:00
龍潭,桃園市,32,1.6,0.23,63,21,,,,,2.5,314,2021/06/01 14:00:00
龍潭,桃園市,39,2.1,0.25,65.4,,17,8.1,10.4,2.3,1.9,308,2021/06/01 15:00:00
龍潭,桃園市,46,2.7,0.29,69.4,32,17,11.2,13.4,2.2,1.6,76,2021/06/01 16:00:00
龍潭,桃園市,54,2.4,0.31,68.3,28,22,11.7,14.1,2.4,2.2,320,2021/06/01 17:00:00
龍潭,桃園市,64,2.2,0.35,59.6,30,21,12.6,14.8,2.2,2.7,229,2021/06/01 18:00:00
龍潭,桃園市,61,1.1,0.18,37.5,10,1,5.4,7.6,2.2,1.7,212,2021/06/01 19:00:00
龍潭,桃園市,54,1.2,0.2,31.4,5,3,8.2,10.5,2.3,0.8,247,2021/06/01 20:00:00
龍潭,桃園市,48,1.1,0.25,25.2,5,4,12.1,14.4,2.3,1.3,145,2021/06/01 21:00:00
龍潭,桃園市,44,1.1,0.22,28.1,15,5,8.1,10.4,2.3,1.8,122,2021/06/01 22:00:00
龍潭,桃園市,40,1,0.2,27.9,11,8,7.2,9.4,2.2,1.1,140,2021/06/01 23:00:00
龍潭,桃園市,34,1,0.2,17.6,17,8,9.2,11.6,2.4,1.2,115,2021/06/02 00:00:00
龍潭,桃園市,29,1.4,0.18,18.7,18,9,7,9.4,2.4,0.7,235,2021/06/02 01:00:00
龍潭,桃園市,29,1.4,0.2,15.6,16,6,5.4,6.1,0.8,1.3,247,2021/06/02 02:00:00
龍潭,桃園市,26,1.6,0.2,12.9,17,5,8.2,9.2,1,1.4,163,2021/06/02 03:00:00
龍潭,桃園市,23,1.5,0.16,13.7,15,4,4.2,5.4,1.2,1.5,148,2021/06/02 04:00:00
龍潭,桃園市,17,1.4,0.17,12.4,18,2,6.4,7.8,1.5,1,170,2021/06/02 05:00:00
龍潭,桃園市,15,1.5,0.19,9.8,22,2,7,9.4,2.5,1.2,143,2021/06/02 06:00:00
龍潭,桃園市,15,1.4,0.23,11.4,15,2,8.1,11.2,3.1,1.2,122,2021/06/02 07:00:00
龍潭,桃園市,15,1.7,0.24,17.4,15,4,5.7,10.2,4.5,1.6,131,2021/06/02 08:00:00
龍潭,桃園市,15,1.7,0.19,27.5,11,4,,,,2.1,245,2021/06/02 09:00:00
龍潭,桃園市,16,1.6,0.2,33.1,13,2,4.4,6.3,1.9,2.2,243,2021/06/02 10:00:00
龍潭,桃園市,19,1.8,0.23,45.3,13,4,5.3,6.2,0.9,2.5,256,2021/06/02 11:00:00
龍潭,桃園市,25,2.5,0.27,62.9,28,11,6.6,8.4,1.7,2.9,262,2021/06/02 12:00:00
龍潭,桃園市,31,2.4,0.22,58.2,15,7,5.9,6.9,1.1,4.7,267,2021/06/02 13:00:00
龍潭,桃園市,35,2.5,0.19,49.6,14,4,4.1,4.7,0.6,3.2,232,2021/06/02 14:00:00
龍潭,桃園市,41,3,0.21,60.2,21,10,5.8,6,0.3,3.2,263,2021/06/02 15:00:00
龍潭,桃園市,46,2.6,0.21,62.2,22,18,5.4,6.4,1,2.8,193,2021/06/02 16:00:00
龍潭,桃園市,48,1.9,0.28,47.5,22,22,10.9,12.1,1.2,1.9,112,2021/06/02 17:00:00
