SiteName,County,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate
中壢,桃園市,32,1.4,0.78,8.5,11,6,25.6,33.9,8.3,0.4,327,2021/06/01 00:00:00
中壢,桃園市,29,1.8,0.81,6.9,14,5,24.3,29.9,5.6,1.1,172,2021/06/01 01:00:00
中壢,桃園市,31,2.2,0.63,5.4,19,16,19.5,30.5,11,0.6,191,2021/06/01 02:00:00
中壢,桃園市,32,2.2,0.62,3,15,11,19,27.2,8.3,0.4,10,2021/06/01 03:00:00
中壢,桃園市,31,2,0.44,2.6,15,7,19.8,26.4,6.5,0.4,118,2021/06/01 04:00:00
中壢,桃園市,35,2.4,0.4,7.2,5,12,16.8,24.6,7.8,0.4,71,2021/06/01 05:00:00
中壢,桃園市,32,2.7,0.88,3.3,15,10,18.9,46.9,28,0.9,175,2021/06/01 06:00:00
中壢,桃園市,31,3,1.71,3.1,21,8,18.7,68.1,49.5,0.4,216,2021/06/01 07:00:00
中壢,桃園市,35,3.8,2.85,3,27,16,16.5,89,72.5,1.3,197,2021/06/01 08:00:00
中壢,桃園市,37,3.3,1.74,7.8,24,15,22,66.2,44.2,1,223,2021/06/01 09:00:00
中壢,桃園市,37,2.7,0.92,22.2,21,11,21,37.8,16.7,0.5,355,2021/06/01 10:00:00
中壢,桃園市,39,2.4,0.51,37.7,15,11,17.3,23.9,6.7,0.7,342,2021/06/01 11:00:00
中壢,桃園市,39,2.7,0.63,44.5,16,14,18.3,26.3,8,0.4,29,2021/06/01 12:00:00
中壢,桃園市,44,3,0.45,56.8,31,21,17.2,23.3,6.1,0.8,18,2021/06/01 13:00:00
中壢,桃園市,47,3,0.39,61.4,27,18,13.1,17.3,4.2,0.5,29,2021/06/01 14:00:00
中壢,桃園市,50,3,0.39,58,33,16,13.5,18.1,4.6,0.5,20,2021/06/01 15:00:00
中壢,桃園市,54,2.9,0.35,58.9,24,21,13.1,17.4,4.3,0.5,36,2021/06/01 16:00:00
中壢,桃園市,54,3,0.46,54.9,28,20,15.8,22.4,6.6,0.4,6,2021/06/01 17:00:00
中壢,桃園市,54,3,0.6,40.5,19,16,17.4,24.4,7,0.5,358,2021/06/01 18:00:00
