SiteName,County,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Temp,Humidity
桃園,桃園市,23,9.6,0.43,17.2,13,7,16.5,18.1,1.7,NULL,347,2021/6/1 00:00,23,98
桃園,桃園市,23,5.3,0.39,16.6,16,8,14.7,16.2,1.5,0.7,194,2021/6/1 01:00,23.1,98
桃園,桃園市,23,4.4,0.48,7.5,14,6,23.8,24.3,0.3,0.7,180,2021/6/1 02:00,23,99
桃園,桃園市,25,4.5,0.44,6,18,13,23,24,1,0.5,224,2021/6/1 03:00,22.8,98
桃園,桃園市,27,3.9,0.37,6.5,15,10,NULL,NULL,NULL,0.5,112,2021/6/1 04:00,23,98
桃園,桃園市,28,3.4,0.55,2.8,26,9,21.1,27.9,6.8,0.6,112,2021/6/1 05:00,23.5,97
桃園,桃園市,35,5.8,0.56,1,30,20,23,34.6,11.7,0.5,212,2021/6/1 06:00,24.1,94
桃園,桃園市,39,5.9,0.73,2,28,18,21.8,41.1,19.3,0.7,95,2021/6/1 07:00,25.8,88
桃園,桃園市,44,10.3,0.7,6.9,34,20,20,36,16,0.7,100,2021/6/1 08:00,28.5,75
桃園,桃園市,48,8.3,0.65,21.6,31,15,20.5,29.5,9,0.8,202,2021/6/1 09:00,28.9,70
桃園,桃園市,44,2.9,0.28,44.4,5,8,8.3,9.7,1.4,0.9,207,2021/6/1 10:00,29.4,69
桃園,桃園市,43,2.4,0.21,54.1,22,NULL,8.6,9.9,1.3,1.7,301,2021/6/1 11:00,29.9,70
桃園,桃園市,40,3.8,0.3,62.9,NULL,12,14.5,16,1.5,1.2,293,2021/6/1 12:00,29.3,71
桃園,桃園市,41,3.5,0.25,77.4,23,16,11,11.4,0.3,2,350,2021/6/1 13:00,29.6,72
桃園,桃園市,43,4.1,0.22,72.8,20,10,9.9,10.8,0.9,2.5,9,2021/6/1 14:00,29.9,70
桃園,桃園市,48,4.2,0.22,72.3,25,16,10.6,11.7,1,2.8,10,2021/6/1 15:00,31.5,63
桃園,桃園市,67,3.8,0.2,72.6,22,15,9.2,9.9,0.7,1.8,304,2021/6/1 16:00,28.2,81
桃園,桃園市,84,3.6,0.33,63.1,27,17,15.6,16,0.3,1.4,205,2021/6/1 17:00,27.4,89
桃園,桃園市,87,3.6,0.47,48.9,24,15,19.5,20.4,0.9,0.9,199,2021/6/1 18:00,25.3,99
桃園,桃園市,80,2.9,0.46,42.6,22,13,19.1,19.3,0.3,1.3,63,2021/6/1 19:00,25.5,98
桃園,桃園市,67,2.6,0.43,32.7,15,10,16.6,17.3,0.6,0.9,171,2021/6/1 20:00,25.3,96
桃園,桃園市,50,3.1,0.43,24.1,19,9,20,20.2,0.3,0.7,13,2021/6/1 21:00,24.9,96
桃園,桃園市,43,8.3,0.52,14.6,21,14,20.9,21.8,0.9,1,73,2021/6/1 22:00,24.7,96
桃園,桃園市,39,9.1,0.55,10.3,22,11,21.3,22,0.7,1.2,62,2021/6/1 23:00,24.7,96
桃園,桃園市,42,6.3,0.52,8.8,13,15,21.3,22.2,0.9,1.1,72,2021/6/2 00:00,24.6,94
桃園,桃園市,41,11.8,0.52,8.7,14,10,21.3,22.1,0.7,0.8,161,2021/6/2 01:00,24.6,96
桃園,桃園市,39,6.3,0.5,5.7,23,9,24.6,26.7,2.1,0.8,203,2021/6/2 02:00,24.4,96
桃園,桃園市,36,3.3,0.35,8.2,21,7,17.6,18.9,1.2,0.7,164,2021/6/2 03:00,24.5,94
桃園,桃園市,33,4.5,0.37,3.4,30,10,23.4,26.2,2.8,0.8,185,2021/6/2 04:00,24.2,95
