,DataCreationDate,County,SiteName,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec
0,2021-01-31 23:00,桃園市,中壢,135,2.5,1.52,3.8,82.0,61.0,55.5,79.7,24.2,0.4,173.0
1,2021-01-31 23:00,桃園市,大園,104,3.3,0.46,24.2,61.0,45.0,18.4,19.1,0.6,1.1,181.0
2,2021-01-31 23:00,桃園市,平鎮,151,3.3,1.1,1.8,81.0,68.0,54.0,74.9,20.9,0.5,175.0
3,2021-01-31 23:00,桃園市,龍潭,117,1.1,0.8,13.7,57.0,43.0,40.2,44.2,4.0,0.9,161.0
4,2021-01-31 23:00,桃園市,觀音,115,2.8,0.45,23.6,81.0,48.0,17.6,17.7,0.1,0.6,113.0
5,2021-01-31 23:00,桃園市,桃園,121,5.1,1.01,12.7,72.0,45.0,49.4,53.7,4.2,0.6,195.0
6,2021-01-31 22:00,桃園市,中壢,129,2.6,1.13,20.3,74.0,59.0,43.4,52.7,9.2,0.4,0.0
7,2021-01-31 22:00,桃園市,大園,101,3.4,0.32,32.6,46.0,33.0,14.7,15.7,1.0,0.5,216.0
8,2021-01-31 22:00,桃園市,龍潭,115,1.1,1.01,9.8,66.0,53.0,44.1,59.1,14.9,0.7,139.0
9,2021-01-31 22:00,桃園市,平鎮,142,3.3,0.91,19.5,82.0,66.0,41.0,49.3,8.3,0.9,273.0
10,2021-01-31 22:00,桃園市,觀音,112,5.8,0.4,23.4,75.0,47.0,15.8,16.0,0.1,0.6,107.0
11,2021-01-31 22:00,桃園市,桃園,118,4.8,0.61,32.3,68.0,48.0,31.7,33.5,1.8,0.6,336.0
12,2021-01-31 21:00,桃園市,大園,101,5.5,0.34,30.0,47.0,31.0,24.0,25.3,1.2,1.1,181.0
13,2021-01-31 21:00,桃園市,觀音,106,2.3,0.21,29.4,38.0,25.0,12.9,13.2,0.3,1.4,128.0
14,2021-01-31 21:00,桃園市,桃園,110,6.1,0.61,33.2,80.0,49.0,34.3,36.1,1.8,1.1,304.0
15,2021-01-31 21:00,桃園市,平鎮,127,3.6,0.73,30.4,83.0,65.0,29.2,30.9,1.6,0.7,262.0
16,2021-01-31 21:00,桃園市,龍潭,105,1.1,0.82,14.0,69.0,51.0,44.2,48.6,4.4,0.5,240.0
17,2021-01-31 21:00,桃園市,中壢,116,3.2,0.89,28.4,61.0,54.0,34.9,44.6,9.6,0.4,1.0
18,2021-01-31 20:00,桃園市,中壢,105,3.4,1.07,21.0,66.0,48.0,44.0,65.9,21.8,0.4,11.0
19,2021-01-31 20:00,桃園市,龍潭,93,0.9,0.54,44.0,59.0,41.0,22.2,23.5,1.2,0.7,192.0
20,2021-01-31 20:00,桃園市,大園,100,4.0,0.57,38.3,81.0,50.0,25.9,28.2,2.2,2.2,327.0
21,2021-01-31 20:00,桃園市,平鎮,109,5.1,0.62,28.4,86.0,61.0,31.5,32.6,1.1,0.7,263.0
22,2021-01-31 20:00,桃園市,桃園,99,4.7,0.73,38.2,80.0,56.0,32.2,34.2,2.0,0.9,323.0
23,2021-01-31 20:00,桃園市,觀音,106,2.3,0.44,33.0,84.0,64.0,18.9,19.4,0.5,1.1,326.0
24,2021-01-31 19:00,桃園市,大園,88,5.6,0.65,49.0,73.0,43.0,25.2,26.3,1.0,1.2,272.0
25,2021-01-31 19:00,桃園市,觀音,89,2.5,0.51,36.0,84.0,46.0,28.5,28.8,0.2,1.1,230.0
26,2021-01-31 19:00,桃園市,桃園,85,3.4,0.98,54.7,70.0,47.0,28.4,30.2,1.8,1.4,331.0
27,2021-01-31 19:00,桃園市,中壢,95,3.4,1.18,25.6,74.0,53.0,47.0,79.5,32.5,0.4,79.0
28,2021-01-31 19:00,桃園市,龍潭,97,1.2,0.6,51.1,69.0,47.0,20.4,21.8,1.3,0.9,225.0
29,2021-01-31 19:00,桃園市,平鎮,90,3.8,0.67,37.8,81.0,58.0,27.2,28.3,1.0,1.0,263.0
30,2021-01-31 18:00,桃園市,大園,82,4.3,0.54,66.6,64.0,37.0,17.4,19.0,1.5,2.2,287.0
31,2021-01-31 18:00,桃園市,中壢,84,2.7,1.06,39.3,50.0,33.0,40.0,55.5,15.5,0.6,346.0
32,2021-01-31 18:00,桃園市,平鎮,80,3.7,0.56,57.4,63.0,39.0,19.4,20.3,0.9,1.3,276.0
33,2021-01-31 18:00,桃園市,觀音,83,2.7,0.4,52.2,57.0,33.0,17.4,17.5,0.1,1.1,258.0
34,2021-01-31 18:00,桃園市,龍潭,97,1.4,0.52,64.2,60.0,35.0,14.8,16.1,1.3,1.0,280.0
35,2021-01-31 18:00,桃園市,桃園,76,3.9,0.68,76.1,54.0,35.0,17.6,19.4,1.7,1.2,313.0
36,2021-01-31 17:00,桃園市,大園,78,5.6,0.45,76.0,45.0,35.0,12.6,14.0,1.4,0.9,234.0
37,2021-01-31 17:00,桃園市,桃園,73,3.9,0.45,71.0,52.0,27.0,14.6,16.8,2.2,0.8,321.0
38,2021-01-31 17:00,桃園市,觀音,81,3.9,0.32,64.4,51.0,23.0,11.7,12.3,0.5,1.1,248.0
39,2021-01-31 17:00,桃園市,中壢,85,2.0,0.69,52.0,42.0,31.0,27.2,40.8,13.5,0.4,27.0
40,2021-01-31 17:00,桃園市,平鎮,72,2.9,0.51,73.7,47.0,26.0,9.4,10.2,0.8,1.2,262.0
41,2021-01-31 17:00,桃園市,龍潭,87,0.9,0.37,77.5,54.0,29.0,7.1,8.3,1.1,2.1,323.0
42,2021-01-31 16:00,桃園市,觀音,85,2.4,0.34,68.8,54.0,26.0,12.8,13.2,0.3,0.9,307.0
43,2021-01-31 16:00,桃園市,龍潭,71,0.9,0.35,75.6,46.0,29.0,7.5,9.1,1.5,2.8,322.0
44,2021-01-31 16:00,桃園市,桃園,72,4.3,0.4,73.8,37.0,22.0,11.4,13.7,2.3,1.4,297.0
45,2021-01-31 16:00,桃園市,中壢,86,1.9,0.67,58.9,40.0,26.0,25.5,34.4,8.9,0.8,11.0
46,2021-01-31 16:00,桃園市,大園,74,4.7,0.36,66.7,41.0,20.0,12.5,14.8,2.3,1.3,322.0
47,2021-01-31 16:00,桃園市,平鎮,73,3.0,0.44,75.1,37.0,19.0,8.5,9.6,1.0,0.9,283.0
48,2021-01-31 15:00,桃園市,中壢,86,2.8,0.67,54.0,52.0,30.0,30.8,39.8,9.0,1.0,27.0
49,2021-01-31 15:00,桃園市,平鎮,78,3.3,0.39,74.9,40.0,23.0,7.8,8.9,1.1,1.9,278.0
50,2021-01-31 15:00,桃園市,大園,76,4.5,0.4,75.6,45.0,31.0,11.1,13.4,2.3,2.4,334.0
51,2021-01-31 15:00,桃園市,龍潭,68,1.4,0.36,76.8,44.0,29.0,8.0,9.7,1.6,3.2,324.0
52,2021-01-31 15:00,桃園市,桃園,74,4.6,0.47,76.6,47.0,25.0,12.0,14.4,2.3,1.9,323.0
53,2021-01-31 15:00,桃園市,觀音,85,2.5,0.32,66.6,45.0,26.0,9.4,10.0,0.5,1.5,286.0
54,2021-01-31 14:00,桃園市,平鎮,75,4.2,0.43,71.1,51.0,34.0,9.9,11.5,1.6,1.8,295.0
55,2021-01-31 14:00,桃園市,中壢,83,3.4,0.7,54.2,54.0,45.0,27.7,41.1,13.4,1.2,14.0
56,2021-01-31 14:00,桃園市,大園,72,5.6,0.42,74.1,48.0,30.0,11.5,13.5,2.0,2.8,311.0
57,2021-01-31 14:00,桃園市,觀音,84,5.5,0.5,58.3,46.0,29.0,14.1,16.3,2.1,2.4,285.0
